model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.1387,0.8607,28.6088,0.0241,370.81,100,616.65,84
SR_EDSR_2x_16_64,1369859,0.1021,0.8768,29.6973,0.0216,26.85,142,60.35,96
SR_EDSR_2x_1_128,1040131,0.1111,0.8709,29.3028,0.0225,41.55,138,93.25,92
SR_EDSR_2x_1_256,4144643,0.1106,0.8714,29.3560,0.0224,,,28.33,82
SR_EDSR_2x_1_32,66499,0.1393,0.8647,28.8527,0.0236,,,686.08,82
SR_EDSR_2x_2_128,1335299,0.1054,0.8742,29.5007,0.0220,,,76.04,86
SR_EDSR_2x_2_256,5324803,0.1011,0.8749,29.5654,0.0218,,,22.85,126
SR_EDSR_2x_2_32,84995,0.1211,0.8675,29.1047,0.0230,260.57,100,588.74,84
SR_EDSR_2x_2_48,189699,0.1127,0.8704,29.2674,0.0225,,,269.87,126
SR_EDSR_2x_2_52,222355,0.1104,0.8706,29.2609,0.0226,,,191.97,126
SR_EDSR_2x_2_96,752643,0.1064,0.8729,29.4347,0.0221,47.31,128,103.44,70
SR_EDSR_2x_32_256_r,40729603,0.0940,0.8797,29.8801,0.0211,,,3.32,384
SR_EDSR_2x_4_256,7685123,0.0999,0.8775,29.7300,0.0215,,,16.04,404
SR_EDSR_2x_4_32,121987,0.1130,0.8697,29.2256,0.0227,,,460.47,404
SR_EDSR_2x_4_52,319907,0.1066,0.8724,29.4086,0.0222,,,146.81,86
SR_EDSR_2x_6_12,22899,0.1431,0.8549,28.5121,0.0245,,,956.33,66
SR_FastEDSR_2x_1_128,312588,0.1111,0.8707,29.3325,0.0225,,,340.04,68
SR_FastEDSR_2x_1_16,6828,0.1372,0.8623,28.7548,0.0238,,,2656.54,66
SR_FastEDSR_2x_1_32,22860,0.1279,0.8663,28.9859,0.0232,,,1914.41,64
SR_FastEDSR_2x_1_4,852,0.1352,0.8564,28.5323,0.0244,,,3233.33,64
SR_FastEDSR_2x_1_64,82572,0.1155,0.8692,29.2326,0.0227,,,814.67,64
SR_FastEDSR_2x_1_8,2268,0.1402,0.8598,28.6236,0.0241,,,3273.19,64
SR_FastEDSR_2x_2_128,607756,0.1014,0.8740,29.5069,0.0220,,,188.34,68
SR_FastEDSR_2x_2_16,11468,0.1339,0.8643,28.8657,0.0235,,,2028.06,68
SR_FastEDSR_2x_2_32,41356,0.1150,0.8693,29.2066,0.0227,,,1304.02,68
SR_FastEDSR_2x_2_4,1148,0.1419,0.8578,28.5902,0.0242,,,1111.09,68
SR_FastEDSR_2x_2_64,156428,0.1070,0.8721,29.3681,0.0223,,,494.11,68
SR_FastEDSR_2x_2_8,3436,0.1367,0.8625,28.7763,0.0237,,,685.72,64
SR_FastEDSR_2x_4_128,1198092,0.1011,0.8766,29.6778,0.0215,,,101.27,70
SR_FastEDSR_2x_4_16,20748,0.1189,0.8680,29.1351,0.0229,,,553.10,70
SR_FastEDSR_2x_4_32,78348,0.1084,0.8714,29.3352,0.0224,,,833.01,70
SR_FastEDSR_2x_4_64,304140,0.1026,0.8742,29.5096,0.0219,,,274.72,70
SR_FastEDSR_2x_4_8,5772,0.1263,0.8660,29.0275,0.0231,,,1841.83,70
SR_FastEDSR_2x_8_16,39308,0.1088,0.8701,29.2835,0.0225,,,1031.48,70
SR_IMDN_2x_1_128,596916,0.1044,0.8740,29.5164,0.0219,,,110.23,68
SR_IMDN_2x_1_256,2350940,0.1005,0.8766,29.6784,0.0216,,,37.34,90
SR_IMDN_2x_1_48,88251,0.1306,0.8644,28.9381,0.0234,,,307.54,88
SR_IMDN_2x_1_64,153824,0.1096,0.8697,29.2353,0.0226,,,247.13,88
SR_IMDN_2x_1_96,339210,0.1023,0.8725,29.4414,0.0222,,,132.66,90
SR_IMDN_2x_2_128,1028700,0.1003,0.8753,29.6112,0.0217,,,62.56,96
SR_IMDN_2x_2_48,149130,0.1162,0.8681,29.1545,0.0228,,,159.67,96
SR_IMDN_2x_2_96,582216,0.1023,0.8741,29.5204,0.0219,,,71.63,94
SR_IMDN_2x_4_16,31808,0.1375,0.8535,28.4348,0.0247,,,364.22,92
SR_IMDN_2x_4_256,7528268,0.0979,0.8787,29.8517,0.0212,,,10.76,142
SR_IMDN_2x_4_52,317120,0.1080,0.8710,29.3297,0.0224,,,68.43,96
SR_IMDN_2x_5_16,38629,0.1397,0.8538,28.4661,0.0246,,,312.28,94
SR_IMDN_2x_6_64,694404,0.1028,0.8733,29.4919,0.0220,,,50.86,94
SR_RFDN_2x_1_128,802124,0.1028,0.8748,29.5337,0.0218,,,89.86,96
SR_RFDN_2x_1_256,3170956,0.1016,0.8771,29.7114,0.0215,,,32.90,114
SR_RFDN_2x_1_48,117204,0.1112,0.8686,29.1854,0.0228,,,215.24,92
SR_RFDN_2x_1_64,205228,0.1077,0.8711,29.3459,0.0224,,,214.99,92
SR_RFDN_2x_1_96,454716,0.1072,0.8732,29.4748,0.0220,,,117.59,92
SR_RFDN_2x_2_128,1439116,0.1006,0.8766,29.6681,0.0216,,,51.23,102
SR_RFDN_2x_2_16,24668,0.1420,0.8540,28.4744,0.0245,,,495.83,96
SR_RFDN_2x_2_256,5716748,0.0990,0.8786,29.8160,0.0213,,,17.98,140
SR_RFDN_2x_2_256_GAN,5716748,0.0464,0.8432,28.5701,0.0253,,,17.90,168
SR_RFDN_2x_2_48,207036,0.1068,0.8700,29.2888,0.0225,,,114.02,116
SR_RFDN_2x_2_52,242306,0.1076,0.8707,29.3197,0.0224,,,90.75,116
SR_RFDN_2x_2_64,364748,0.1088,0.8726,29.4221,0.0221,,,119.47,90
SR_RFDN_2x_2_96,813228,0.1036,0.8750,29.5726,0.0218,,,64.21,96
SR_RFDN_2x_4_128,2713100,0.0996,0.8777,29.7543,0.0214,,,27.08,108
SR_RFDN_2x_4_16,44812,0.1374,0.8515,28.3896,0.0248,,,319.27,94
SR_RFDN_2x_4_256,10808332,0.0981,0.8796,29.8852,0.0212,,,9.17,164
SR_RFDN_2x_4_48,386700,0.1047,0.8713,29.3628,0.0223,,,62.39,94
SR_RFDN_2x_4_52,453088,0.1031,0.8727,29.4693,0.0221,,,47.36,94
SR_RFDN_2x_4_96,1530252,0.1023,0.8766,29.7239,0.0215,,,33.35,52
SR_RFDN_2x_6_48,566364,0.1064,0.8713,29.3543,0.0223,,,42.48,68
SR_RFDN_2x_6_52,663870,0.1037,0.8721,29.4477,0.0222,,,31.71,68
SR_RFDN_2x_6_64,1002828,0.1043,0.8749,29.5959,0.0218,,,43.77,72
SR_SRCNN_2x,20099,0.1346,0.8596,28.7875,0.0238,,,409.98,70
SR_VDSR_2x_18_64,668227,0.1026,0.8723,29.5108,0.0220,,,37.92,74
SR_EDSR_2_52,832055,0.1059,0.8718,29.3595,0.0224,,,192.30,70
SR_EDSR_4_52,929607,0.1026,0.8738,29.4851,0.0221,,,147.26,74
SR_FastEDSR_2_128,694231,0.1004,0.8750,29.5351,0.0219,,,188.38,76
SR_FastEDSR_2_16,22343,0.1285,0.8657,28.9290,0.0234,,,2172.36,76
SR_FastEDSR_2_32,63031,0.1092,0.8705,29.2522,0.0226,,,1359.55,74
SR_FastEDSR_2_4,3923,0.1434,0.8578,28.5797,0.0242,,,2967.26,42
SR_FastEDSR_2_64,199703,0.1029,0.8729,29.4097,0.0222,,,482.02,64
SR_FastEDSR_2_8,8911,0.1415,0.8607,28.6491,0.0240,,,2843.89,64
SR_FastEDSR_4_128,1284567,0.0991,0.8774,29.6939,0.0215,,,101.62,76
SR_FastEDSR_4_16,31623,0.1117,0.8696,29.2125,0.0227,,,1427.48,72
SR_FastEDSR_4_32,100023,0.1046,0.8727,29.3953,0.0222,,,611.31,86
SR_FastEDSR_4_64,347415,0.1001,0.8750,29.5618,0.0219,,,270.68,88
SR_FastEDSR_4_8,11247,0.1347,0.8641,28.8707,0.0235,,,1922.70,86
SR_FastEDSR_jpeg_2_16_s,22343,0.1849,0.8241,27.9932,0.0265,,,2294.13,106
SR_FastEDSR_jpeg_2_64,199703,0.2021,0.8152,27.9499,0.0268,,,495.43,106
SR_FastEDSR_jpeg_2_8_s,8911,0.1857,0.8287,28.1014,0.0260,,,2506.91,106
SR_FastEDSR_jpeg_4_128,1284567,0.1680,0.8395,28.4061,0.0251,,,102.28,74
SR_FastEDSR_jpeg_4_128_s,1284567,0.1595,0.8443,27.9339,0.0262,,,102.29,82
SR_FastEDSR_jpeg_4_256,4928343,0.1609,0.8412,28.4115,0.0252,,,29.03,118
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.1309,0.7730,25.3808,0.0377,,,29.08,178
SR_FastEDSR_jpeg_4_32,100023,0.2079,0.8113,27.8602,0.0270,,,628.70,74
SR_FastEDSR_jpeg_4_32_s,100023,0.1984,0.8219,27.6305,0.0273,,,832.00,74
SR_FastEDSR_jpeg_4_32_s_384,100023,0.1917,0.8268,27.6747,0.0271,,,829.69,74
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.1977,0.8200,27.8297,0.0270,,,826.83,66
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.2010,0.8225,26.9942,0.0291,,,606.80,66
SR_FastEDSR_jpeg_4_48,205287,0.1924,0.8231,28.0246,0.0264,,,348.84,66
SR_FastEDSR_jpeg_4_64,347415,0.1805,0.8307,28.1671,0.0258,,,262.71,68
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.1537,0.7934,26.6868,0.0337,,,271.74,68
SR_FastEDSR_jpeg_4_64_fft,347415,0.1742,0.8262,27.9437,0.0264,,,249.94,68
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.1772,0.8309,28.1076,0.0260,,,271.63,70
SR_FastEDSR_jpeg_4_64_GAN,347415,0.1411,0.7472,24.3213,0.0449,,,270.78,72
SR_FastEDSR_jpeg_4_64_perc,347415,0.1662,0.8341,28.2059,0.0257,,,259.29,68
SR_FastEDSR_jpeg_4_64_s,347415,0.1682,0.8380,27.7640,0.0266,,,252.56,68
SR_FastEDSR_jpeg_6_32,137015,0.1973,0.8203,27.9820,0.0265,,,598.73,68
SR_IMDN_2_48,181605,0.1114,0.8676,29.1229,0.0229,,,157.35,68
SR_IMDN_2_96,647091,0.0993,0.8745,29.5494,0.0219,,,69.59,74
SR_RFDN_1_128,888599,0.1005,0.8751,29.5898,0.0218,,,90.09,76
SR_RFDN_2_48,239511,0.1041,0.8707,29.2927,0.0226,,,115.87,76
SR_RFDN_2_96,878103,0.1006,0.8758,29.6044,0.0217,28.84,142,65.04,96
SR_RFDN_2_96_GAN,878103,0.0494,0.8031,27.6600,0.0292,,,63.45,76
SR_RFDN_4_128,2799575,0.0991,0.8782,29.8056,0.0213,,,26.40,84
SR_RFDN_4_16,55687,0.1407,0.8487,28.3238,0.0251,,,306.82,70
