model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_2_64,199703,0.4443,0.7085,25.7780,0.0346,,,,
SR_FastEDSR_4_64,347415,0.4320,0.7090,25.7777,0.0346,,,,
SR_FastEDSR_4_128,1284567,0.4271,0.7098,25.7868,0.0345,,,,
SR_FastEDSR_4_256,4928343,0.4305,0.7104,25.7979,0.0344,,,,
SR_RFDN_4_128,2799575,0.4479,0.7105,25.8298,0.0344,,,,
SR_FastEDSR_jpeg_2_64,199703,0.4196,0.7260,26.2208,0.0320,,,,
SR_FastEDSR_jpeg_4_64,347415,0.4017,0.7322,26.3788,0.0314,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.3905,0.7379,26.5324,0.0308,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.3860,0.7406,26.6124,0.0305,,,,
SR_RFDN_jpeg_4_128,2799575,0.4181,0.7216,26.1265,0.0327,,,,
nearest,0,0.4978,0.6536,24.4242,0.0388,,,,
bilinear,0,0.5349,0.6927,25.1914,0.0362,,,,
bicubic,0,0.5288,0.7011,25.4909,0.0353,,,,
lanczos,0,0.5257,0.7032,25.5844,0.0351,,,,
SR_FastEDSR_4_32,100023,0.4479,0.7082,25.7763,0.0347,,,,
SR_FastEDSR_jpeg_4_32,100023,0.4249,0.7240,26.1900,0.0321,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.4129,0.7272,26.1994,0.0320,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.3879,0.7343,26.3478,0.0314,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.3812,0.7391,26.4727,0.0309,,,,
