model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_EDSR_3x_6_12,29439,tensorrt,134.77,304.94,20.51,41.52,72.50,153.08
SR_EDSR_3x_2_48,293619,tensorrt,61.00,129.16,31.62,59.89,45.73,100.78
SR_EDSR_3x_4_48,376755,tensorrt,52.43,111.65,29.13,54.47,39.28,81.92
SR_EDSR_3x_2_64,520515,tensorrt,47.28,101.50,28.83,55.35,35.12,68.91
SR_RFDN_3x_2_48,213531,tensorrt,44.03,98.41,13.86,26.76,36.75,82.97
SR_RFDN_3x_4_48,393195,tensorrt,24.72,52.20,8.57,17.67,24.21,54.40
SR_RFDN_3x_6_48,572859,tensorrt,17.33,38.08,6.39,12.81,17.44,38.69
SR_RFDN_3x_6_52,670905,tensorrt,12.93,29.03,5.55,11.27,13.75,29.38
SR_RFDN_3x_1_128,819419,tensorrt,35.60,68.23,20.90,42.55,30.04,63.23
SR_RFDN_3x_2_128,1456411,tensorrt,20.75,43.20,13.63,28.00,18.24,38.40
SR_IMDN_3x_2_48,155625,tensorrt,56.37,124.87,16.59,34.47,48.30,104.93
SR_IMDN_3x_4_48,277383,tensorrt,32.52,67.63,11.64,24.08,29.05,60.62
SR_IMDN_3x_6_64,703059,tensorrt,20.52,42.17,9.06,18.19,20.08,43.87
SR_FastEDSR_3x_1_4,1407,tensorrt,209.21,341.36,29.59,57.54,86.03,175.11
SR_FastEDSR_3x_1_8,3363,tensorrt,212.67,448.90,30.49,57.62,85.17,171.58
SR_FastEDSR_3x_1_16,9003,tensorrt,211.43,413.50,30.28,58.82,83.35,174.12
SR_FastEDSR_3x_1_32,27195,tensorrt,196.23,335.60,30.38,58.30,84.37,174.57
SR_FastEDSR_3x_1_64,91227,tensorrt,149.54,316.85,30.58,56.43,87.38,183.93
SR_FastEDSR_3x_1_128,329883,tensorrt,96.19,205.76,30.64,60.42,67.88,147.44
SR_FastEDSR_3x_2_4,1703,tensorrt,218.14,456.03,29.49,57.61,88.62,178.24
SR_FastEDSR_3x_2_8,4531,tensorrt,211.22,376.60,29.57,56.67,86.61,177.29
SR_FastEDSR_3x_2_16,13643,tensorrt,207.97,437.96,30.48,57.67,86.04,183.32
SR_FastEDSR_3x_2_32,45691,tensorrt,182.23,367.98,28.68,56.04,73.20,169.08
SR_FastEDSR_3x_2_64,165083,tensorrt,121.49,256.00,29.99,55.83,82.36,169.47
SR_FastEDSR_3x_2_128,625051,tensorrt,62.29,141.89,28.61,61.37,47.50,104.34
SR_FastEDSR_3x_4_8,6867,tensorrt,206.21,396.22,27.25,54.27,75.88,160.70
SR_FastEDSR_3x_4_16,22923,tensorrt,188.12,379.59,27.53,52.91,78.74,166.75
SR_FastEDSR_3x_4_32,82683,tensorrt,151.32,322.06,27.95,53.73,79.06,160.68
SR_FastEDSR_3x_4_64,312795,tensorrt,86.96,185.66,28.60,54.26,61.66,132.09
SR_FastEDSR_3x_4_128,1215387,tensorrt,40.20,78.45,24.71,51.66,29.24,59.62
SR_FastEDSR_3x_8_16,41483,tensorrt,159.32,354.22,23.32,46.07,69.23,148.53
