model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_FastEDSR_4_8,11247,tensorrt-pt2,305.89,566.22,,,,
SR_FastEDSR_jpeg_4_48,205287,tensorrt-pt2,106.34,258.33,,,,
SR_FastEDSR_jpeg_6_32,137015,tensorrt-pt2,172.73,368.44,,,,
SR_IMDN_2_48,181605,tensorrt-pt2,55.62,135.63,,,,
SR_IMDN_2_96,647091,tensorrt-pt2,29.05,64.64,,,,
SR_RFDN_1_128,888599,tensorrt-pt2,35.73,81.10,,,,
SR_RFDN_2_48,239511,tensorrt-pt2,43.82,104.71,,,,
SR_RFDN_2_96,878103,tensorrt-pt2,25.60,57.11,,,,
SR_RFDN_4_128,2799575,tensorrt-pt2,11.41,24.56,,,,
SR_RFDN_4_16,55687,tensorrt-pt2,75.67,235.31,,,,
SR_RFDN_4_256,10981207,tensorrt-pt2,4.15,9.26,,,,
SR_RFDN_4_48,419175,tensorrt-pt2,24.53,56.98,,,,
SR_RFDN_jpeg_2_128,1525591,tensorrt-pt2,21.13,46.32,,,,
SR_RFDN_jpeg_2_256,5889623,tensorrt-pt2,7.72,17.46,,,,
SR_FastEDSR_4_256,4928343,tensorrt-pt2,11.66,27.49,8.72,18.00,9.38,20.45
SR_FastEDSR_6_256,7288663,tensorrt-pt2,8.21,18.66,5.96,12.15,6.20,14.04
SR_EDSR_2x_16_64,1369859,tensorrt,26.67,58.69,13.49,29.06,19.40,43.36
SR_EDSR_2x_1_128,1040131,tensorrt,36.55,87.48,20.73,43.24,26.67,59.01
SR_EDSR_2x_1_256,4144643,tensorrt,11.98,27.42,8.80,18.19,8.88,20.32
SR_EDSR_2x_1_32,66499,tensorrt,197.99,410.71,38.35,79.47,91.08,202.86
SR_EDSR_2x_32_256_r,40729603,tensorrt,,3.30,1.09,2.23,1.10,2.49
SR_EDSR_2x_2_128,1335299,tensorrt,32.95,73.43,18.44,38.19,22.47,42.11
SR_EDSR_2x_2_256,5324803,tensorrt,,21.40,7.19,14.81,7.39,16.04
SR_EDSR_2x_2_48,189699,tensorrt,101.36,222.50,32.00,64.86,62.03,132.03
SR_EDSR_2x_2_52,222355,tensorrt,71.73,159.68,27.97,59.02,50.03,109.30
SR_EDSR_2x_2_96,752643,tensorrt,44.68,76.28,22.66,40.25,29.71,66.65
SR_EDSR_2x_4_256,7685123,tensorrt,,16.07,5.22,10.64,5.27,12.03
SR_EDSR_2x_4_32,121987,tensorrt,150.74,319.69,32.00,50.55,76.05,167.06
SR_EDSR_2x_4_52,319907,tensorrt,59.07,127.86,22.64,49.95,40.34,89.84
SR_EDSR_2x_6_12,22899,tensorrt,228.17,481.17,24.18,47.82,89.45,192.11
SR_FastEDSR_2x_1_128,312588,tensorrt,121.36,250.34,34.15,70.68,64.73,142.79
SR_FastEDSR_2x_1_16,6828,tensorrt,379.71,739.09,40.83,83.85,121.75,267.14
SR_FastEDSR_2x_1_32,22860,tensorrt,332.67,676.79,42.97,85.77,115.48,248.76
SR_FastEDSR_2x_1_4,852,tensorrt,415.45,789.38,39.31,77.47,122.91,263.22
SR_FastEDSR_2x_1_64,82572,tensorrt,225.69,459.17,36.14,83.55,99.37,205.59
SR_FastEDSR_2x_1_8,2268,tensorrt,414.74,763.22,40.83,83.93,119.69,262.92
SR_FastEDSR_2x_2_128,607756,tensorrt,75.25,163.83,28.01,48.57,46.11,100.92
SR_FastEDSR_2x_2_32,41356,tensorrt,285.39,556.44,39.37,60.83,106.48,233.53
SR_FastEDSR_2x_2_4,1148,tensorrt,310.19,681.41,34.13,56.33,115.87,254.06
SR_FastEDSR_2x_2_64,156428,tensorrt,163.27,338.34,36.64,61.66,78.85,172.29
SR_FastEDSR_2x_2_8,3436,tensorrt,352.74,638.68,38.54,77.82,119.26,256.42
SR_FastEDSR_2x_4_128,1198092,tensorrt,42.45,94.80,20.48,36.35,28.65,64.10
SR_FastEDSR_2x_4_16,20748,tensorrt,302.50,623.73,35.65,73.77,103.35,219.88
SR_FastEDSR_2x_4_32,78348,tensorrt,218.05,410.52,34.34,72.66,85.95,181.10
SR_FastEDSR_2x_4_64,304140,tensorrt,103.45,218.40,29.52,61.71,57.49,126.83
SR_FastEDSR_2x_4_8,5772,tensorrt,356.14,689.84,35.72,71.06,102.57,229.11
SR_FastEDSR_2x_8_16,39308,tensorrt,237.39,353.88,26.37,60.51,86.09,172.78
SR_IMDN_2x_1_128,596916,tensorrt,36.13,91.18,19.69,43.33,32.43,72.29
SR_IMDN_2x_1_256,2350940,tensorrt,15.00,32.88,11.14,22.24,11.48,26.26
SR_IMDN_2x_1_48,88251,tensorrt,101.66,226.86,,,,
SR_IMDN_2x_1_64,153824,tensorrt,84.26,185.04,,,,
SR_IMDN_2x_1_96,339210,tensorrt,46.42,96.18,,,,
SR_IMDN_2x_2_128,1028700,tensorrt,22.27,52.93,,,,
SR_IMDN_2x_2_48,149130,tensorrt,56.93,138.62,,,,
SR_IMDN_2x_2_96,582216,tensorrt,28.34,63.85,,,,
SR_IMDN_2x_4_16,31808,tensorrt,113.81,250.01,,,,
SR_IMDN_2x_4_256,7528268,tensorrt,4.65,9.96,,,,
SR_EDSR_2x_0_32,48003,onnxruntime-directml,68.48,146.26,17.35,35.07,18.88,41.68
SR_EDSR_2x_16_64,1369859,onnxruntime-directml,18.31,33.73,9.17,19.59,10.07,23.48
SR_EDSR_2x_1_128,1040131,onnxruntime-directml,25.11,54.01,11.58,23.86,11.48,24.74
SR_EDSR_2x_1_256,4144643,onnxruntime-directml,10.05,21.70,6.26,13.29,6.14,13.69
SR_EDSR_2x_1_32,66499,onnxruntime-directml,63.83,131.65,15.06,34.58,18.14,38.79
SR_EDSR_2x_2_128,1335299,onnxruntime-directml,21.11,45.20,10.26,21.80,10.21,23.65
SR_EDSR_2x_2_256,5324803,onnxruntime-directml,8.50,17.93,5.49,11.35,5.29,11.54
SR_EDSR_2x_2_32,84995,onnxruntime-directml,61.97,121.66,15.46,28.91,16.07,38.62
SR_EDSR_2x_2_48,189699,onnxruntime-directml,45.50,98.02,13.48,31.19,15.95,36.85
SR_EDSR_2x_2_52,222355,onnxruntime-directml,30.03,70.18,11.77,25.15,13.50,29.72
SR_EDSR_2x_2_96,752643,onnxruntime-directml,27.48,48.44,11.60,24.82,12.08,27.56
SR_EDSR_2x_32_256_r,40729603,onnxruntime-directml,1.28,2.77,1.09,2.18,0.98,2.20
SR_EDSR_2x_4_256,7685123,onnxruntime-directml,6.20,13.06,4.23,8.52,3.85,8.73
SR_EDSR_2x_4_32,121987,onnxruntime-directml,54.48,100.76,13.81,30.65,15.71,37.03
SR_EDSR_2x_4_52,319907,onnxruntime-directml,23.02,51.59,10.36,20.92,11.33,24.73
SR_EDSR_2x_6_12,22899,onnxruntime-directml,71.82,159.22,16.03,32.17,17.77,40.79
SR_FastEDSR_2x_1_128,312588,onnxruntime-directml,49.05,114.91,14.82,32.73,16.25,38.93
SR_FastEDSR_2x_1_16,6828,onnxruntime-directml,87.55,197.50,17.89,38.75,19.44,45.56
SR_FastEDSR_2x_1_32,22860,onnxruntime-directml,84.03,175.59,18.04,38.95,19.02,43.92
SR_FastEDSR_2x_1_4,852,onnxruntime-directml,90.43,192.43,16.70,35.77,18.61,37.02
SR_FastEDSR_2x_1_64,82572,onnxruntime-directml,69.42,146.07,16.34,34.76,17.57,40.76
SR_FastEDSR_2x_1_8,2268,onnxruntime-directml,83.30,184.63,16.23,35.99,17.59,44.13
SR_FastEDSR_2x_2_128,607756,onnxruntime-directml,40.33,85.04,13.12,26.26,14.05,31.53
SR_FastEDSR_2x_2_16,11468,onnxruntime-directml,81.24,190.09,17.47,33.89,19.02,41.79
SR_FastEDSR_2x_2_32,41356,onnxruntime-directml,77.85,152.59,17.15,34.09,18.49,41.87
SR_FastEDSR_2x_2_4,1148,onnxruntime-directml,85.77,193.07,17.39,37.28,18.81,42.90
SR_FastEDSR_2x_2_64,156428,onnxruntime-directml,61.23,128.89,16.77,35.20,17.99,41.51
SR_FastEDSR_2x_2_8,3436,onnxruntime-directml,88.48,194.67,18.04,38.42,19.61,44.86
SR_FastEDSR_2x_4_128,1198092,onnxruntime-directml,27.52,57.97,11.72,25.36,12.35,28.10
SR_FastEDSR_2x_4_16,20748,onnxruntime-directml,81.08,185.78,16.88,36.63,18.50,42.47
SR_FastEDSR_2x_4_32,78348,onnxruntime-directml,71.42,129.87,16.30,36.15,17.69,42.53
SR_FastEDSR_2x_4_64,304140,onnxruntime-directml,48.68,98.40,14.44,32.68,16.33,37.79
SR_EDSR_2_52,832055,onnxruntime-directml,32.01,71.74,12.40,24.72,13.01,28.19
SR_EDSR_4_52,929607,onnxruntime-directml,23.95,53.81,10.31,21.33,11.16,25.68
SR_FastEDSR_2_4,3923,onnxruntime-directml,83.73,182.01,16.88,36.93,17.40,41.27
SR_FastEDSR_2_8,8911,onnxruntime-directml,79.26,178.24,15.90,34.21,18.24,37.50
SR_FastEDSR_2_16,22343,onnxruntime-directml,79.16,175.19,15.99,31.87,17.94,41.22
SR_FastEDSR_2_32,63031,onnxruntime-directml,71.80,143.84,15.87,31.36,15.91,42.13
SR_FastEDSR_2_64,199703,onnxruntime-directml,63.76,129.42,16.84,35.96,18.25,41.46
SR_FastEDSR_2_128,694231,onnxruntime-directml,39.20,88.53,14.50,30.10,15.15,34.60
SR_FastEDSR_4_8,11247,onnxruntime-directml,86.31,189.20,17.98,38.66,19.06,45.08
SR_FastEDSR_4_16,31623,onnxruntime-directml,81.41,184.57,17.27,38.38,19.39,44.56
SR_FastEDSR_4_32,100023,onnxruntime-directml,66.58,128.90,16.83,36.21,18.64,43.26
SR_FastEDSR_jpeg_4_48,205287,onnxruntime-directml,52.53,117.47,15.00,32.61,16.37,38.71
SR_FastEDSR_4_64,347415,onnxruntime-directml,50.43,98.01,15.20,32.99,16.82,37.89
SR_FastEDSR_4_128,1284567,onnxruntime-directml,27.62,58.26,12.00,25.72,12.17,27.91
SR_FastEDSR_4_256,4928343,onnxruntime-directml,10.45,22.31,6.46,13.72,6.27,14.08
SR_FastEDSR_jpeg_6_32,137015,onnxruntime-directml,64.82,110.19,15.89,34.66,18.31,41.90
SR_FastEDSR_6_256,7288663,onnxruntime-directml,7.33,15.31,4.86,10.21,4.62,10.41
SR_IMDN_2_48,181605,onnxruntime-directml,27.92,63.95,12.39,24.13,13.52,29.33
SR_IMDN_2_96,647091,onnxruntime-directml,16.28,27.92,9.58,19.57,9.62,21.90
SR_RFDN_1_128,888599,onnxruntime-directml,27.43,60.12,12.27,25.88,12.76,28.84
SR_RFDN_2_48,239511,onnxruntime-directml,31.17,70.11,12.18,26.75,14.18,32.74
SR_RFDN_2_96,878103,onnxruntime-directml,20.31,34.39,9.90,20.96,10.47,22.53
SR_RFDN_jpeg_2_128,1525591,onnxruntime-directml,17.07,37.75,8.99,18.24,9.12,20.98
SR_RFDN_jpeg_2_256,5889623,onnxruntime-directml,7.47,15.05,4.82,10.19,4.70,10.72
SR_RFDN_4_16,55687,onnxruntime-directml,45.24,114.46,12.70,28.38,15.96,35.99
SR_RFDN_4_48,419175,onnxruntime-directml,19.12,40.96,9.44,19.83,10.80,24.68
SR_RFDN_4_128,2799575,onnxruntime-directml,9.93,21.76,6.07,12.66,5.97,14.07
SR_RFDN_4_256,10981207,onnxruntime-directml,4.09,8.25,2.97,6.24,2.84,6.43
SR_FastEDSR_2x_4_8,5772,onnxruntime-directml,70.83,151.31,13.78,30.16,15.83,36.59
SR_FastEDSR_2x_8_16,39308,onnxruntime-directml,62.81,150.17,13.62,32.66,16.86,34.93
SR_IMDN_2x_1_48,88251,onnxruntime-directml,42.05,92.93,14.14,30.59,15.62,33.62
SR_IMDN_2x_1_64,153824,onnxruntime-directml,41.51,85.70,12.77,30.21,15.72,33.49
SR_IMDN_2x_1_96,339210,onnxruntime-directml,26.17,46.01,11.81,24.44,11.82,28.72
SR_IMDN_2x_1_128,596916,onnxruntime-directml,24.00,52.96,10.97,25.05,11.35,26.29
SR_IMDN_2x_1_256,2350940,onnxruntime-directml,12.04,24.37,7.55,15.23,6.93,15.25
SR_IMDN_2x_2_48,149130,onnxruntime-directml,28.45,64.10,11.76,25.20,12.91,29.42
SR_IMDN_2x_2_96,582216,onnxruntime-directml,16.34,28.26,9.32,17.63,9.28,21.90
SR_IMDN_2x_2_128,1028700,onnxruntime-directml,15.96,33.13,8.71,19.08,8.71,20.74
SR_IMDN_2x_4_16,31808,onnxruntime-directml,42.09,107.59,12.33,28.09,15.19,35.31
SR_IMDN_2x_4_52,317120,onnxruntime-directml,10.51,24.30,7.06,15.11,8.07,17.85
SR_IMDN_2x_4_256,7528268,onnxruntime-directml,3.94,7.94,3.26,6.80,2.71,6.11
SR_IMDN_2x_5_16,38629,onnxruntime-directml,37.71,92.02,12.03,24.75,13.87,33.06
SR_IMDN_2x_6_64,694404,onnxruntime-directml,12.59,26.15,7.61,16.01,8.40,19.80
SR_RFDN_2x_1_4,1363,onnxruntime-directml,81.22,179.81,14.97,32.35,16.73,41.96
SR_RFDN_2x_1_48,117204,onnxruntime-directml,40.99,91.97,13.92,25.55,15.80,36.06
SR_RFDN_2x_1_64,205228,onnxruntime-directml,41.14,91.51,13.19,27.57,14.51,34.78
SR_RFDN_2x_1_96,454716,onnxruntime-directml,31.41,52.55,11.84,26.40,12.30,30.31
SR_RFDN_2x_1_128,802124,onnxruntime-directml,26.02,56.19,11.03,23.90,11.68,25.29
SR_RFDN_2x_1_256,3170956,onnxruntime-directml,12.70,25.29,7.21,15.02,7.01,16.05
SR_RFDN_2x_2_16,24668,onnxruntime-directml,60.31,128.67,14.19,29.22,16.39,35.36
SR_RFDN_2x_2_48,207036,onnxruntime-directml,30.61,68.62,11.48,24.78,12.89,31.57
SR_RFDN_2x_2_52,242306,onnxruntime-directml,21.31,47.67,9.83,21.59,10.98,26.20
SR_RFDN_2x_2_64,364748,onnxruntime-directml,29.67,62.70,11.11,25.03,12.66,30.44
SR_RFDN_2x_2_96,813228,onnxruntime-directml,20.24,34.11,9.60,20.95,9.93,23.73
SR_RFDN_2x_2_128,1439116,onnxruntime-directml,17.03,36.75,8.64,18.07,8.91,20.86
SR_RFDN_2x_2_256,5716748,onnxruntime-directml,7.43,15.08,4.86,10.16,4.69,10.49
SR_RFDN_2x_4_16,44812,onnxruntime-directml,45.86,107.64,12.37,28.45,14.52,36.19
SR_RFDN_2x_4_48,386700,onnxruntime-directml,18.66,43.26,8.98,19.35,10.56,22.18
SR_RFDN_2x_4_52,453088,onnxruntime-directml,12.49,28.30,7.37,15.07,8.30,18.39
SR_RFDN_2x_4_96,1530252,onnxruntime-directml,11.64,20.16,6.99,14.25,7.23,16.64
SR_RFDN_2x_4_128,2713100,onnxruntime-directml,9.92,21.71,5.94,12.26,6.11,14.05
SR_RFDN_2x_4_256,10808332,onnxruntime-directml,4.08,8.24,2.98,6.22,2.82,6.36
SR_RFDN_2x_6_48,566364,onnxruntime-directml,13.80,29.75,7.46,15.80,8.80,19.70
SR_RFDN_2x_6_52,663870,onnxruntime-directml,8.86,19.92,5.82,12.37,6.68,14.86
SR_RFDN_2x_6_64,1002828,onnxruntime-directml,14.15,28.83,7.16,15.04,8.33,18.34
SR_SRCNN_2x,20099,onnxruntime-directml,0.22,0.49,0.31,0.65,0.25,0.57
SR_VDSR_2x_18_64,668227,onnxruntime-directml,0.23,0.54,0.31,0.64,0.26,0.60
SR_EDSR_2_52,832055,tensorrt,73.70,161.26,,,,
SR_EDSR_4_52,929607,tensorrt,58.19,127.23,,,,
SR_FastEDSR_2_4,3923,tensorrt,404.25,770.04,,,,
SR_FastEDSR_2_8,8911,tensorrt,388.30,751.35,,,,
SR_FastEDSR_2_32,63031,tensorrt,282.46,572.27,,,,
SR_FastEDSR_2_64,199703,tensorrt,162.59,331.65,,,,
SR_FastEDSR_2_128,694231,tensorrt,75.30,163.68,,,,
SR_FastEDSR_4_8,11247,tensorrt,344.87,643.88,,,,
SR_FastEDSR_4_16,31623,tensorrt,287.26,626.99,,,,
SR_FastEDSR_4_32,100023,tensorrt,217.67,459.27,,,,
SR_FastEDSR_jpeg_4_48,205287,tensorrt,125.28,265.51,,,,
SR_FastEDSR_4_64,347415,tensorrt,104.07,221.78,,,,
SR_FastEDSR_4_128,1284567,tensorrt,42.36,94.91,,,,
SR_FastEDSR_4_256,4928343,tensorrt,12.18,27.62,,,,
SR_FastEDSR_jpeg_6_32,137015,tensorrt,176.52,378.08,,,,
SR_FastEDSR_6_256,7288663,tensorrt,8.49,18.73,,,,
SR_IMDN_2_48,181605,tensorrt,61.91,139.39,,,,
SR_IMDN_2_96,647091,tensorrt,28.03,64.09,,,,
SR_RFDN_1_128,888599,tensorrt,37.05,82.64,,,,
SR_RFDN_2_48,239511,tensorrt,47.73,105.15,,,,
SR_RFDN_2_96,878103,tensorrt,26.23,59.31,,,,
SR_RFDN_jpeg_2_128,1525591,tensorrt,20.55,47.95,,,,
SR_RFDN_jpeg_2_256,5889623,tensorrt,7.82,17.51,,,,
SR_RFDN_4_16,55687,tensorrt,88.45,240.25,,,,
SR_RFDN_4_48,419175,tensorrt,24.85,58.87,,,,
SR_RFDN_4_128,2799575,tensorrt,11.48,25.00,,,,
SR_RFDN_4_256,10981207,tensorrt,,9.10,,,,
SR_EDSR_2x_0_32,48003,tensorrt,209.07,418.17,,,,
SR_FastEDSR_2x_2_16,11468,tensorrt,339.90,654.69,,,,
SR_IMDN_2x_5_16,38629,tensorrt,95.43,217.65,,,,
SR_IMDN_2x_6_64,694404,tensorrt,19.35,45.20,,,,
SR_RFDN_2x_1_4,1363,tensorrt,265.31,365.96,,,,
SR_RFDN_2x_1_48,117204,tensorrt,80.92,178.26,,,,
SR_RFDN_2x_1_64,205228,tensorrt,78.65,171.89,,,,
SR_RFDN_2x_1_96,454716,tensorrt,45.22,100.23,,,,
SR_RFDN_2x_1_128,802124,tensorrt,36.59,81.31,,,,
SR_RFDN_2x_1_256,3170956,tensorrt,13.86,31.00,,,,
SR_RFDN_2x_2_16,24668,tensorrt,137.76,333.46,,,,
SR_RFDN_2x_2_48,207036,tensorrt,48.29,105.31,,,,
SR_RFDN_2x_2_52,242306,tensorrt,34.48,79.50,,,,
SR_RFDN_2x_2_64,364748,tensorrt,47.35,105.21,,,,
SR_RFDN_2x_2_96,813228,tensorrt,26.54,59.14,,,,
SR_RFDN_2x_2_128,1439116,tensorrt,20.71,43.62,,,,
SR_RFDN_2x_4_16,44812,tensorrt,88.70,205.62,,,,
SR_RFDN_2x_4_48,386700,tensorrt,26.06,59.09,,,,
SR_RFDN_2x_4_52,453088,tensorrt,17.99,42.85,,,,
SR_RFDN_2x_4_96,1530252,tensorrt,14.41,32.32,,,,
SR_RFDN_2x_6_48,566364,tensorrt,17.37,40.93,,,,
SR_RFDN_2x_6_52,663870,tensorrt,12.25,29.44,,,,
SR_RFDN_2x_6_64,1002828,tensorrt,18.42,42.03,,,,
SR_SRCNN_2x,20099,tensorrt,130.37,279.04,,,,
SR_VDSR_2x_18_64,668227,tensorrt,16.56,36.45,,,,
SR_EDSR_2x_2_32,84995,tensorrt,168.83,366.80,,,,
SR_FastEDSR_2_16,22343,tensorrt,351.03,682.81,,,,
