model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_2_64,199703,0.3026,0.7780,27.4643,0.0291,,,,
SR_FastEDSR_4_64,347415,0.2987,0.7772,27.4282,0.0292,,,,
SR_FastEDSR_4_128,1284567,0.3021,0.7771,27.4308,0.0291,,,,
SR_FastEDSR_4_256,4928343,0.3064,0.7779,27.4378,0.0291,,,,
SR_RFDN_4_128,2799575,0.3032,0.7773,27.4143,0.0292,,,,
SR_FastEDSR_jpeg_2_64,199703,0.2999,0.8104,28.4955,0.0254,,,,
SR_FastEDSR_jpeg_4_64,347415,0.2975,0.8148,28.6976,0.0247,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.2925,0.8178,28.8282,0.0243,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.2898,0.8190,28.8875,0.0242,,,,
SR_RFDN_jpeg_4_128,2799575,0.3077,0.8099,28.3003,0.0261,,,,
nearest,0,0.3328,0.7591,26.7014,0.0309,,,,
bilinear,0,0.3832,0.7809,27.4255,0.0287,,,,
bicubic,0,0.3605,0.7848,27.6011,0.0285,,,,
lanczos,0,0.3710,0.7847,27.6287,0.0285,,,,
SR_FastEDSR_4_32,100023,0.3031,0.7777,27.4593,0.0291,,,,
SR_FastEDSR_jpeg_4_32,100023,0.3000,0.8105,28.5294,0.0253,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.2898,0.8122,28.3384,0.0258,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.2874,0.8168,28.5146,0.0251,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.2850,0.8195,28.6159,0.0247,,,,
