model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_3x_2_48,293619,0.2598,0.7562,25.7298,0.0330,,,,
SR_EDSR_3x_2_64,520515,0.2504,0.7585,25.7592,0.0328,,,,
SR_EDSR_3x_4_48,376755,0.2460,0.7592,25.7716,0.0328,,,,
SR_EDSR_3x_6_12,29439,0.3056,0.7398,25.3748,0.0347,,,,
SR_FastEDSR_3x_1_128,329883,0.2512,0.7574,25.7446,0.0329,,,,
SR_FastEDSR_3x_1_16,9003,0.3067,0.7452,25.4607,0.0342,,,,
SR_FastEDSR_3x_1_32,27195,0.2972,0.7508,25.5760,0.0336,,,,
SR_FastEDSR_3x_1_4,1407,0.3124,0.7412,25.3870,0.0346,,,,
SR_FastEDSR_3x_1_64,91227,0.2644,0.7549,25.7036,0.0331,,,,
SR_FastEDSR_3x_1_8,3363,0.3081,0.7437,25.4127,0.0344,,,,
SR_FastEDSR_3x_2_128,625051,0.2324,0.7618,25.7729,0.0324,,,,
SR_FastEDSR_3x_2_16,13643,0.2984,0.7502,25.5802,0.0337,,,,
SR_FastEDSR_3x_2_32,45691,0.2645,0.7555,25.6879,0.0331,,,,
SR_FastEDSR_3x_2_4,1703,0.3084,0.7432,25.4158,0.0344,,,,
SR_FastEDSR_3x_2_64,165083,0.2430,0.7590,25.7630,0.0327,,,,
SR_FastEDSR_3x_2_8,4531,0.3092,0.7444,25.4349,0.0343,,,,
SR_FastEDSR_3x_4_128,1215387,0.2269,0.7659,25.8443,0.0320,,,,
SR_FastEDSR_3x_4_16,22923,0.2670,0.7550,25.7103,0.0331,,,,
SR_FastEDSR_3x_4_32,82683,0.2441,0.7588,25.7732,0.0327,,,,
SR_FastEDSR_3x_4_64,312795,0.2304,0.7623,25.8240,0.0323,,,,
SR_FastEDSR_3x_4_8,6867,0.2982,0.7486,25.5325,0.0338,,,,
SR_FastEDSR_3x_8_16,41483,0.2491,0.7575,25.7629,0.0328,,,,
SR_IMDN_3x_2_48,155625,0.2832,0.7528,25.6579,0.0334,,,,
SR_IMDN_3x_4_48,277383,0.2657,0.7565,25.7241,0.0330,,,,
SR_IMDN_3x_6_64,703059,0.2367,0.7607,25.8096,0.0326,,,,
SR_RFDN_3x_1_128,819419,0.2146,0.7612,25.7588,0.0325,,,,
SR_RFDN_3x_2_128,1456411,0.2107,0.7629,25.7854,0.0323,,,,
SR_RFDN_3x_2_48,213531,0.2479,0.7510,25.6358,0.0337,,,,
SR_RFDN_3x_4_48,393195,0.2226,0.7499,25.5443,0.0338,,,,
SR_RFDN_3x_6_48,572859,0.2583,0.7544,25.6796,0.0333,,,,
SR_RFDN_3x_6_52,670905,0.2433,0.7533,25.6379,0.0335,,,,
SR_EDSR_2_52,832055,0.2482,0.7583,25.7655,0.0329,,,,
SR_EDSR_4_52,929607,0.2329,0.7615,25.7975,0.0326,,,,
SR_FastEDSR_2_128,694231,0.2281,0.7632,25.8201,0.0323,,,,
SR_FastEDSR_2_16,22343,0.3003,0.7494,25.5468,0.0338,,,,
SR_FastEDSR_2_32,63031,0.2635,0.7564,25.7240,0.0330,,,,
