model_name,params,runtype,480p decode,480p sr,480p e2e,480p full
SR_IMDN_2x_4_16,31808,onnxruntime-directml,1379.09,182.57,155.78,123.29
SR_IMDN_2x_4_52,317120,onnxruntime-directml,1785.38,29.37,28.66,26.19
SR_IMDN_2x_4_256,7528268,onnxruntime-directml,1631.13,10.23,10.16,9.99
SR_IMDN_2x_5_16,38629,onnxruntime-directml,1403.86,159.46,140.23,112.14
SR_IMDN_2x_6_64,694404,onnxruntime-directml,1324.11,34.61,33.72,31.69
SR_RFDN_2x_1_4,1363,onnxruntime-directml,1272.19,456.86,329.27,193.02
SR_RFDN_2x_1_48,117204,onnxruntime-directml,1404.88,140.54,126.40,87.88
SR_RFDN_2x_1_64,205228,onnxruntime-directml,1466.99,146.77,133.31,106.48
SR_RFDN_2x_1_96,454716,onnxruntime-directml,1462.70,88.49,82.86,72.00
SR_RFDN_2x_1_128,802124,onnxruntime-directml,1443.91,73.14,68.94,61.27
SR_RFDN_2x_1_256,3170956,onnxruntime-directml,1075.62,28.18,26.49,25.35
SR_RFDN_2x_2_16,24668,onnxruntime-directml,1763.00,281.97,232.48,170.88
SR_RFDN_2x_2_48,207036,onnxruntime-directml,1758.21,82.53,78.53,68.59
SR_RFDN_2x_2_52,242306,onnxruntime-directml,1431.89,52.18,51.42,47.30
SR_RFDN_2x_2_64,364748,onnxruntime-directml,1393.03,91.23,85.33,73.88
SR_RFDN_2x_2_96,813228,onnxruntime-directml,1423.12,49.66,49.55,45.54
SR_RFDN_2x_2_128,1439116,onnxruntime-directml,1417.13,42.45,41.11,38.28
SR_RFDN_2x_2_256,5716748,onnxruntime-directml,1405.65,15.78,15.54,15.13
SR_RFDN_2x_4_16,44812,onnxruntime-directml,1467.49,174.34,132.76,124.19
SR_RFDN_2x_4_48,386700,onnxruntime-directml,1764.09,46.55,42.95,42.64
SR_RFDN_2x_4_52,453088,onnxruntime-directml,1736.15,29.38,29.05,27.68
SR_RFDN_2x_4_96,1530252,onnxruntime-directml,1757.50,28.25,27.64,25.30
SR_RFDN_2x_4_128,2713100,onnxruntime-directml,1583.79,22.92,22.36,22.01
SR_RFDN_2x_4_256,10808332,onnxruntime-directml,1682.56,8.35,8.34,8.29
SR_RFDN_2x_6_48,566364,onnxruntime-directml,1783.46,31.95,32.02,30.43
SR_RFDN_2x_6_52,663870,onnxruntime-directml,1792.91,20.51,20.05,18.46
SR_RFDN_2x_6_64,1002828,onnxruntime-directml,1803.42,36.21,35.92,32.61
SR_SRCNN_2x,20099,onnxruntime-directml,1788.6,0,0,0
SR_VDSR_2x_18_64,668227,onnxruntime-directml,1658.4,0,0,0
SR_FastEDSR_4_128,1284567,tensorrt,1728.92,91.09,84.80,75.21
SR_FastEDSR_4_128,1284567,ncnn-vulkan,1636.31,16.87,15.12,16.29
SR_FastEDSR_4_32,100023,ncnn-vulkan,1734.80,24.22,22.91,23.71
SR_FastEDSR_4_32,100023,tensorrt,1256.37,522.80,374.31,230.62
SR_EDSR_2x_0_32,48003,tensorrt,1447.89,501.01,363.67,227.95
SR_EDSR_2x_16_64,1369859,tensorrt,1299.02,55.79,55.39,49.88
SR_EDSR_2x_1_128,1040131,tensorrt,1857.31,85.18,65.94,70.74
SR_EDSR_2x_1_256,4144643,tensorrt,1698.21,26.66,26.20,24.02
SR_EDSR_2x_1_32,66499,tensorrt,1660.43,440.84,345.50,215.67
SR_EDSR_2x_2_128,1335299,tensorrt,1632.59,69.89,66.95,60.82
SR_EDSR_2x_2_256,5324803,tensorrt,1638.85,21.23,20.94,19.66
