model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_jpeg_6_32,137015,0.2697,0.7685,26.8525,0.0314,,,,
SR_IMDN_2_48,181605,0.2617,0.8108,28.0777,0.0261,,,,
SR_IMDN_2_96,647091,0.2062,0.8398,29.0803,0.0224,,,,
SR_RFDN_1_128,888599,0.1951,0.8443,29.2645,0.0217,,,,
SR_RFDN_2_48,239511,0.2400,0.8203,28.4104,0.0250,,,,
SR_RFDN_2_96,878103,0.1982,0.8433,29.2386,0.0219,,,,
SR_RFDN_2_96_GAN,878103,0.1062,0.7096,25.9404,0.0376,,,,
SR_RFDN_4_128,2799575,0.1986,0.8479,29.4434,0.0214,,,,
SR_RFDN_4_16,55687,0.2946,0.7724,27.0381,0.0303,,,,
SR_RFDN_4_256,10981207,0.1893,0.8573,29.9193,0.0199,,,,
SR_RFDN_4_256_ESRGAN,10981207,0.1263,0.7960,28.4365,0.0264,,,,
SR_RFDN_4_256_GAN,10981207,0.1105,0.7820,27.3365,0.0316,,,,
SR_RFDN_4_48,419175,0.2267,0.8284,28.6903,0.0241,,,,
SR_RFDN_jpeg_2_128,1525591,0.2185,0.8009,27.5299,0.0283,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.1660,0.6927,24.0542,0.0477,,,,
SR_RFDN_jpeg_2_256,5889623,0.2128,0.8033,27.4868,0.0280,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.1529,0.6822,23.6037,0.0512,,,,
SR_RFDN_jpeg_4_128,2799575,0.2758,0.7487,26.5589,0.0330,,,,
