model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_4_32,100023,0.5222,0.6561,24.4821,0.0406,,,,
SR_FastEDSR_2_64,199703,0.5194,0.6565,24.4830,0.0405,,,,
SR_FastEDSR_4_64,347415,0.5111,0.6556,24.4484,0.0406,,,,
SR_FastEDSR_4_128,1284567,0.5114,0.6558,24.4435,0.0406,,,,
SR_FastEDSR_4_256,4928343,0.5143,0.6561,24.4457,0.0406,,,,
SR_RFDN_4_128,2799575,0.5259,0.6559,24.4686,0.0406,,,,
SR_FastEDSR_jpeg_4_32,100023,0.4771,0.6889,25.2015,0.0364,,,,
SR_FastEDSR_jpeg_2_64,199703,0.4750,0.6885,25.1808,0.0365,,,,
SR_FastEDSR_jpeg_4_64,347415,0.4626,0.6940,25.3325,0.0357,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.4524,0.6976,25.4238,0.0352,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.4484,0.6993,25.4710,0.0349,,,,
SR_RFDN_jpeg_4_128,2799575,0.4848,0.6840,25.1256,0.0371,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.4667,0.6900,25.1807,0.0365,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.4517,0.6949,25.3050,0.0357,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.4434,0.6980,25.3751,0.0353,,,,
nearest,0,0.5608,0.6164,23.7238,0.0433,,,,
bilinear,0,0.5990,0.6585,24.4156,0.0404,,,,
bicubic,0,0.5935,0.6607,24.5447,0.0401,,,,
lanczos,0,0.5903,0.6606,24.5668,0.0401,,,,
