model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_3x_2_48,293619,0.2533,0.8486,29.6243,0.0215,,,,
SR_EDSR_3x_2_64,520515,0.2442,0.8512,29.7448,0.0212,,,,
SR_EDSR_3x_4_48,376755,0.2397,0.8526,29.8074,0.0211,,,,
SR_EDSR_3x_6_12,29439,0.2901,0.8331,28.8743,0.0232,,,,
SR_FastEDSR_3x_1_128,329883,0.2456,0.8497,29.6851,0.0213,,,,
SR_FastEDSR_3x_1_16,9003,0.2916,0.8366,28.9994,0.0229,,,,
SR_FastEDSR_3x_1_32,27195,0.2839,0.8417,29.2270,0.0223,,,,
SR_FastEDSR_3x_1_4,1407,0.2957,0.8333,28.8566,0.0232,,,,
SR_FastEDSR_3x_1_64,91227,0.2579,0.8462,29.5003,0.0218,,,,
SR_FastEDSR_3x_1_8,3363,0.2920,0.8352,28.9258,0.0231,,,,
SR_FastEDSR_3x_2_128,625051,0.2270,0.8565,30.0128,0.0206,,,,
SR_FastEDSR_3x_2_16,13643,0.2845,0.8413,29.2206,0.0224,,,,
SR_FastEDSR_3x_2_32,45691,0.2571,0.8475,29.5477,0.0216,,,,
SR_FastEDSR_3x_2_4,1703,0.2922,0.8355,28.9480,0.0230,,,,
SR_FastEDSR_3x_2_64,165083,0.2377,0.8522,29.7926,0.0211,,,,
SR_FastEDSR_3x_2_8,4531,0.2933,0.8360,28.9612,0.0230,,,,
SR_FastEDSR_3x_4_128,1215387,0.2174,0.8626,30.3337,0.0198,,,,
SR_FastEDSR_3x_4_16,22923,0.2587,0.8468,29.5225,0.0217,,,,
SR_FastEDSR_3x_4_32,82683,0.2389,0.8518,29.7759,0.0211,,,,
SR_FastEDSR_3x_4_64,312795,0.2238,0.8575,30.0789,0.0204,,,,
SR_FastEDSR_3x_4_8,6867,0.2839,0.8402,29.1796,0.0225,,,,
SR_FastEDSR_3x_8_16,41483,0.2435,0.8505,29.7187,0.0213,,,,
SR_IMDN_3x_2_48,155625,0.2713,0.8452,29.4254,0.0219,,,,
SR_IMDN_3x_4_48,277383,0.2568,0.8491,29.6209,0.0215,,,,
SR_IMDN_3x_6_64,703059,0.2318,0.8550,29.9368,0.0208,,,,
