model_name,params,runtype,480p decode,480p sr,480p e2e,480p fullSR_EDSR_2_52,832055,onnxruntime-directml,1732.29,68.37,64.79,58.43
SR_FastEDSR_2x_4_8,5772,onnxruntime-directml,1765.96,181.31,121.72,123.45
SR_FastEDSR_2x_8_16,39308,onnxruntime-directml,1773.54,164.81,147.93,117.62
SR_IMDN_2x_1_128,596916,onnxruntime-directml,1764.13,51.78,50.35,47.38
SR_IMDN_2x_1_256,2350940,onnxruntime-directml,1807.01,24.23,23.72,22.76
SR_IMDN_2x_1_48,88251,onnxruntime-directml,1547.43,86.52,83.28,74.28
SR_IMDN_2x_1_64,153824,onnxruntime-directml,1773.06,84.03,79.64,68.22
SR_IMDN_2x_1_96,339210,onnxruntime-directml,1662.08,55.87,54.32,49.90
SR_IMDN_2x_2_128,1028700,onnxruntime-directml,1816.55,33.03,32.36,29.31
SR_IMDN_2x_2_48,149130,onnxruntime-directml,1807.28,61.45,59.24,52.92
SR_IMDN_2x_2_96,582216,onnxruntime-directml,1775.39,34.26,34.19,31.83
SR_IMDN_2x_4_16,31808,onnxruntime-directml,1751.73,104.00,97.85,82.49
SR_IMDN_2x_4_256,7528268,onnxruntime-directml,1785.02,8.13,8.10,7.84
SR_IMDN_2x_5_16,38629,onnxruntime-directml,1759.66,93.69,88.16,76.58
SR_IMDN_2x_6_64,694404,onnxruntime-directml,1820.06,24.57,23.84,22.56
SR_RFDN_2x_1_128,802124,onnxruntime-directml,1379.54,56.92,55.34,50.92
SR_RFDN_2x_1_256,3170956,onnxruntime-directml,1393.10,25.02,25.16,24.14
SR_RFDN_2x_1_4,1363,onnxruntime-directml,1380.58,176.05,150.86,119.22
SR_RFDN_2x_1_48,117204,onnxruntime-directml,1399.41,83.86,85.90,76.57
SR_RFDN_2x_1_64,205228,onnxruntime-directml,1417.11,98.98,90.03,78.35
SR_RFDN_2x_1_96,454716,onnxruntime-directml,1409.08,66.62,62.10,53.73
SR_RFDN_2x_2_128,1439116,onnxruntime-directml,1363.47,36.92,35.61,33.88
SR_RFDN_2x_2_16,24668,onnxruntime-directml,1447.82,145.35,127.78,86.83
SR_RFDN_2x_2_256,5716748,onnxruntime-directml,1504.05,15.28,14.92,14.66
SR_RFDN_2x_2_48,207036,onnxruntime-directml,1459.93,66.28,61.43,56.04
SR_RFDN_2x_2_52,242306,onnxruntime-directml,1493.76,45.31,42.08,39.25
SR_RFDN_2x_2_64,364748,onnxruntime-directml,1438.22,70.56,65.51,58.79
