model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_4_52,929607,0.0954,0.8948,28.5037,0.0244,,,,
SR_FastEDSR_2_128,694231,0.0931,0.8966,28.6643,0.0240,,,,
SR_FastEDSR_2_16,22343,0.1531,0.8658,26.8304,0.0295,,,,
SR_FastEDSR_2_32,63031,0.1186,0.8812,27.6389,0.0270,,,,
SR_FastEDSR_2_4,3923,0.1791,0.8562,26.3789,0.0311,,,,
SR_FastEDSR_2_64,199703,0.1016,0.8910,28.2597,0.0251,,,,
SR_FastEDSR_2_8,8911,0.1775,0.8582,26.4491,0.0308,,,,
SR_FastEDSR_4_128,1284567,0.0820,0.9049,29.2518,0.0225,,,,
SR_FastEDSR_4_16,31623,0.1207,0.8802,27.5916,0.0272,,,,
SR_FastEDSR_4_32,100023,0.1033,0.8900,28.1975,0.0253,,,,
SR_FastEDSR_4_64,347415,0.0885,0.8990,28.8065,0.0236,,,,
SR_FastEDSR_4_8,11247,0.1614,0.8652,26.7868,0.0297,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.1650,0.8405,26.4646,0.0310,,,,
SR_FastEDSR_jpeg_2_64,199703,0.1686,0.8384,26.7200,0.0303,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.1926,0.8346,26.0984,0.0323,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.1317,0.8652,27.5530,0.0273,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.1190,0.8721,27.2022,0.0281,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.1236,0.8698,27.6997,0.0268,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.1045,0.8188,24.9264,0.0388,,,,
SR_FastEDSR_jpeg_4_32,100023,0.1709,0.8356,26.6921,0.0303,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.1525,0.8490,26.6984,0.0300,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.1472,0.8530,26.7119,0.0299,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.1565,0.8458,26.8302,0.0298,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.1499,0.8488,25.9623,0.0322,,,,
SR_FastEDSR_jpeg_4_48,205287,0.1560,0.8476,26.9949,0.0292,,,,
SR_FastEDSR_jpeg_4_64,347415,0.1457,0.8546,27.1709,0.0285,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.1510,0.8047,25.6242,0.0372,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,0.1325,0.8534,27.0873,0.0287,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.1398,0.8560,27.2092,0.0284,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,0.1137,0.7881,23.8933,0.0462,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,0.1370,0.8571,27.2157,0.0284,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.1293,0.8637,26.9528,0.0289,,,,
SR_FastEDSR_jpeg_6_32,137015,0.1582,0.8452,26.9163,0.0295,,,,
SR_IMDN_2_48,181605,0.1204,0.8777,27.4342,0.0276,,,,
SR_IMDN_2_96,647091,0.0880,0.8982,28.7290,0.0238,,,,
SR_RFDN_1_128,888599,0.0835,0.9009,28.9220,0.0232,,,,
SR_RFDN_2_48,239511,0.1054,0.8857,27.8929,0.0262,,,,
SR_RFDN_2_96,878103,0.0843,0.9017,29.0094,0.0231,,,,
SR_RFDN_2_96_GAN,878103,0.0486,0.8348,27.0017,0.0313,,,,
SR_RFDN_4_128,2799575,0.0742,0.9103,29.6872,0.0215,,,,
SR_RFDN_4_16,55687,0.1735,0.8509,26.2422,0.0316,,,,
SR_RFDN_4_256,10981207,0.0675,0.9153,30.1549,0.0204,,,,
SR_RFDN_4_256_ESRGAN,10981207,0.0511,0.8988,29.2646,0.0232,,,,
SR_RFDN_4_256_GAN,10981207,0.0415,0.8899,28.7533,0.0247,,,,
SR_RFDN_4_48,419175,0.0935,0.8927,28.3244,0.0249,,,,
SR_RFDN_jpeg_2_128,1525591,0.1045,0.8798,27.5120,0.0271,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.0871,0.8294,25.3906,0.0367,,,,
SR_RFDN_jpeg_2_256,5889623,0.0992,0.8845,27.5881,0.0269,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.0798,0.8354,25.3820,0.0361,,,,
SR_RFDN_jpeg_4_128,2799575,0.1418,0.8523,26.6957,0.0302,,,,
SR_FastEDSR_4_256,4928343,0.0850,0.9056,29.3051,0.0223,,,,
SR_FastEDSR_6_256,7288663,0.0751,0.9093,29.5961,0.0216,,,,
nearest,0,0.1652,0.8087,24.1846,0.0365,,,,
bilinear,0,0.2480,0.7943,24.5260,0.0370,,,,
bicubic,0,0.2070,0.8282,25.4308,0.0337,,,,
lanczos,0,0.2319,0.8384,25.8091,0.0327,,,,
