model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_4_52,929607,0.3326,0.6512,24.1277,0.0437,,,,
SR_FastEDSR_2_128,694231,0.3323,0.6513,24.1190,0.0437,,,,
SR_FastEDSR_2_16,22343,0.3567,0.6525,24.2123,0.0435,,,,
SR_FastEDSR_2_32,63031,0.3391,0.6525,24.1801,0.0436,,,,
SR_FastEDSR_2_4,3923,0.3685,0.6526,24.2067,0.0436,,,,
SR_FastEDSR_2_64,199703,0.3334,0.6518,24.1431,0.0436,,,,
SR_FastEDSR_2_8,8911,0.3687,0.6517,24.1907,0.0437,,,,
SR_FastEDSR_4_128,1284567,0.3350,0.6505,24.0996,0.0437,,,,
SR_FastEDSR_4_16,31623,0.3412,0.6525,24.1864,0.0436,,,,
SR_FastEDSR_4_32,100023,0.3339,0.6514,24.1414,0.0437,,,,
SR_FastEDSR_4_64,347415,0.3308,0.6507,24.1040,0.0437,,,,
SR_FastEDSR_4_8,11247,0.3603,0.6530,24.2137,0.0435,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.3334,0.6789,24.5967,0.0411,,,,
SR_FastEDSR_jpeg_2_64,199703,0.3328,0.6929,25.0739,0.0388,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.3593,0.6734,24.5181,0.0417,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.3268,0.7057,25.4049,0.0369,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.3205,0.7058,25.1934,0.0375,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.3246,0.7068,25.4488,0.0367,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.2263,0.6251,23.4135,0.0483,,,,
SR_FastEDSR_jpeg_4_32,100023,0.3329,0.6941,25.1036,0.0386,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.3221,0.6925,24.8666,0.0394,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.3212,0.6921,24.8532,0.0395,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.3239,0.6933,24.9662,0.0391,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.3192,0.6892,24.5622,0.0406,,,,
SR_FastEDSR_jpeg_4_48,205287,0.3341,0.6979,25.1862,0.0381,,,,
SR_FastEDSR_jpeg_4_64,347415,0.3335,0.7004,25.2551,0.0377,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.2913,0.6459,24.1721,0.0456,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,0.3042,0.6927,24.9381,0.0390,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.3270,0.7006,25.2264,0.0378,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,0.2427,0.6256,23.0205,0.0523,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,0.3271,0.6994,25.2520,0.0377,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.3230,0.7005,25.0644,0.0383,,,,
SR_FastEDSR_jpeg_6_32,137015,0.3349,0.6963,25.1398,0.0384,,,,
SR_IMDN_2_48,181605,0.3417,0.6530,24.1839,0.0436,,,,
SR_IMDN_2_96,647091,0.3322,0.6509,24.1203,0.0437,,,,
SR_RFDN_1_128,888599,0.3287,0.6514,24.1091,0.0437,,,,
SR_RFDN_2_48,239511,0.3358,0.6518,24.1557,0.0437,,,,
SR_RFDN_2_96,878103,0.3320,0.6504,24.0989,0.0438,,,,
SR_RFDN_2_96_GAN,878103,0.3106,0.6036,23.5757,0.0472,,,,
SR_RFDN_4_128,2799575,0.3301,0.6494,24.0654,0.0439,,,,
SR_RFDN_4_16,55687,0.3670,0.6522,24.2060,0.0436,,,,
SR_RFDN_4_256,10981207,0.3285,0.6483,24.0370,0.0440,,,,
SR_RFDN_4_256_ESRGAN,10981207,0.3141,0.6387,23.8806,0.0447,,,,
SR_RFDN_4_256_GAN,10981207,0.3133,0.6342,23.7984,0.0452,,,,
SR_RFDN_4_48,419175,0.3326,0.6514,24.1263,0.0437,,,,
SR_RFDN_jpeg_2_128,1525591,0.3233,0.7087,25.2389,0.0371,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.2359,0.6111,23.1030,0.0511,,,,
SR_RFDN_jpeg_2_256,5889623,0.3219,0.7125,25.3543,0.0367,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.2110,0.6257,23.5519,0.0477,,,,
SR_RFDN_jpeg_4_128,2799575,0.3428,0.6930,24.9075,0.0395,,,,
nearest,0,0.3512,0.6360,23.6987,0.0451,,,,
bilinear,0,0.4199,0.6630,24.3610,0.0424,,,,
bicubic,0,0.3970,0.6642,24.4134,0.0424,,,,
lanczos,0,0.4065,0.6630,24.4029,0.0426,,,,
SR_FastEDSR_4_256,4928343,0.3375,0.6512,24.1073,0.0437,,,,
SR_FastEDSR_6_256,7288663,0.3336,0.6498,24.0669,0.0438,,,,
