model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.0841,0.9249,33.0883,0.0148,,,,
SR_EDSR_2x_16_64,1369859,0.0604,0.9414,35.3597,0.0111,,,,
SR_EDSR_2x_1_128,1040131,0.0606,0.9372,34.6378,0.0120,,,,
SR_EDSR_2x_1_256,4144643,0.0611,0.9378,34.7398,0.0119,,,,
SR_EDSR_2x_1_32,66499,0.0810,0.9292,33.5438,0.0139,,,,
SR_EDSR_2x_2_128,1335299,0.0604,0.9397,35.0676,0.0115,,,,
SR_EDSR_2x_2_256,5324803,0.0588,0.9404,35.1650,0.0113,,,,
SR_EDSR_2x_2_32,84995,0.0665,0.9335,34.1086,0.0129,,,,
SR_EDSR_2x_2_48,189699,0.0624,0.9367,34.5825,0.0121,,,,
SR_EDSR_2x_2_52,222355,0.0610,0.9371,34.5848,0.0123,,,,
SR_EDSR_2x_2_96,752643,0.0613,0.9391,34.9482,0.0116,,,,
SR_EDSR_2x_32_256_r,40729603,0.0553,0.9427,35.5564,0.0108,,,,
SR_EDSR_2x_4_256,7685123,0.0582,0.9416,35.3569,0.0112,,,,
SR_EDSR_2x_4_32,121987,0.0633,0.9361,34.4967,0.0123,,,,
SR_EDSR_2x_4_52,319907,0.0614,0.9387,34.9239,0.0117,,,,
SR_EDSR_2x_6_12,22899,0.0860,0.9215,32.9304,0.0151,,,,
SR_FastEDSR_2x_1_128,312588,0.0615,0.9370,34.6362,0.0120,,,,
SR_FastEDSR_2x_1_16,6828,0.0794,0.9276,33.3895,0.0141,,,,
SR_FastEDSR_2x_1_32,22860,0.0708,0.9318,33.8258,0.0133,,,,
SR_FastEDSR_2x_1_4,852,0.0813,0.9227,32.8859,0.0150,,,,
SR_FastEDSR_2x_1_64,82572,0.0627,0.9356,34.3960,0.0124,,,,
SR_FastEDSR_2x_1_8,2268,0.0838,0.9250,33.1272,0.0146,,,,
SR_FastEDSR_2x_2_128,607756,0.0582,0.9397,35.0530,0.0114,,,,
SR_FastEDSR_2x_2_16,11468,0.0758,0.9295,33.6043,0.0138,,,,
SR_FastEDSR_2x_2_32,41356,0.0636,0.9356,34.3853,0.0124,,,,
SR_FastEDSR_2x_2_4,1148,0.0851,0.9240,33.0193,0.0148,,,,
SR_FastEDSR_2x_2_64,156428,0.0614,0.9385,34.8140,0.0117,,,,
SR_FastEDSR_2x_2_8,3436,0.0781,0.9280,33.4222,0.0140,,,,
SR_FastEDSR_2x_4_128,1198092,0.0597,0.9413,35.3186,0.0111,,,,
SR_FastEDSR_2x_4_16,20748,0.0669,0.9344,34.2433,0.0127,,,,
SR_FastEDSR_2x_4_32,78348,0.0615,0.9378,34.7407,0.0119,,,,
SR_FastEDSR_2x_4_64,304140,0.0600,0.9401,35.1247,0.0113,,,,
SR_FastEDSR_2x_4_8,5772,0.0691,0.9322,33.9685,0.0131,,,,
SR_FastEDSR_2x_8_16,39308,0.0614,0.9371,34.6439,0.0120,,,,
SR_IMDN_2x_1_128,596916,0.0601,0.9401,35.1277,0.0114,,,,
SR_IMDN_2x_1_256,2350940,0.0590,0.9414,35.3422,0.0111,,,,
SR_IMDN_2x_1_48,88251,0.0737,0.9300,33.7372,0.0136,,,,
SR_IMDN_2x_1_64,153824,0.0613,0.9363,34.5148,0.0123,,,,
SR_IMDN_2x_1_96,339210,0.0579,0.9391,34.9424,0.0116,,,,
SR_IMDN_2x_2_128,1028700,0.0591,0.9409,35.2541,0.0112,,,,
SR_IMDN_2x_2_48,149130,0.0642,0.9344,34.2688,0.0127,,,,
SR_IMDN_2x_2_96,582216,0.0586,0.9402,35.1499,0.0113,,,,
SR_IMDN_2x_4_16,31808,0.0815,0.9194,32.6954,0.0154,,,,
