model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_2x_0_32,48003,0.3004,0.8012,28.1849,0.0271,,,,
SR_EDSR_2x_16_64,1369859,0.2696,0.8051,28.4022,0.0265,,,,
SR_EDSR_2x_1_128,1040131,0.2753,0.8048,28.3784,0.0265,,,,
SR_EDSR_2x_1_256,4144643,0.2746,0.8050,28.3865,0.0265,,,,
SR_EDSR_2x_1_32,66499,0.2999,0.8025,28.2737,0.0268,,,,
SR_EDSR_2x_2_128,1335299,0.2696,0.8052,28.4066,0.0265,,,,
SR_EDSR_2x_2_256,5324803,0.2655,0.8049,28.3830,0.0265,,,,
SR_EDSR_2x_2_32,84995,0.2831,0.8042,28.3352,0.0267,,,,
SR_EDSR_2x_2_48,189699,0.2757,0.8051,28.3917,0.0265,,,,
SR_EDSR_2x_2_52,222355,0.2734,0.8049,28.3734,0.0266,,,,
SR_EDSR_2x_2_96,752643,0.2705,0.8053,28.4071,0.0264,,,,
SR_EDSR_2x_32_256_r,40729603,0.2673,0.8039,28.3538,0.0266,,,,
SR_EDSR_2x_4_256,7685123,0.2686,0.8049,28.3818,0.0265,,,,
SR_EDSR_2x_4_32,121987,0.2762,0.8050,28.3802,0.0265,,,,
SR_EDSR_2x_4_52,319907,0.2700,0.8054,28.4066,0.0265,,,,
SR_EDSR_2x_6_12,22899,0.3039,0.8016,28.2044,0.0270,,,,
SR_FastEDSR_2x_1_128,312588,0.2756,0.8052,28.3887,0.0265,,,,
SR_FastEDSR_2x_1_16,6828,0.2985,0.8023,28.2502,0.0269,,,,
SR_FastEDSR_2x_1_32,22860,0.2901,0.8032,28.3062,0.0267,,,,
SR_FastEDSR_2x_1_4,852,0.2974,0.8022,28.2051,0.0270,,,,
SR_FastEDSR_2x_1_64,82572,0.2791,0.8047,28.3695,0.0265,,,,
SR_FastEDSR_2x_1_8,2268,0.3018,0.8018,28.2128,0.0270,,,,
SR_FastEDSR_2x_2_128,607756,0.2669,0.8052,28.3883,0.0265,,,,
SR_FastEDSR_2x_2_16,11468,0.2965,0.8024,28.2651,0.0268,,,,
SR_FastEDSR_2x_2_32,41356,0.2785,0.8047,28.3632,0.0266,,,,
SR_FastEDSR_2x_2_4,1148,0.3019,0.8024,28.2222,0.0269,,,,
SR_FastEDSR_2x_2_64,156428,0.2720,0.8055,28.4047,0.0264,,,,
SR_FastEDSR_2x_2_8,3436,0.2987,0.8024,28.2505,0.0269,,,,
SR_FastEDSR_2x_4_128,1198092,0.2689,0.8053,28.4065,0.0264,,,,
SR_FastEDSR_2x_4_16,20748,0.2820,0.8045,28.3554,0.0266,,,,
SR_FastEDSR_2x_4_32,78348,0.2724,0.8055,28.4101,0.0264,,,,
SR_FastEDSR_2x_4_64,304140,0.2670,0.8051,28.3897,0.0265,,,,
SR_FastEDSR_2x_4_8,5772,0.2882,0.8038,28.3284,0.0267,,,,
SR_FastEDSR_2x_8_16,39308,0.2719,0.8052,28.3918,0.0265,,,,
SR_IMDN_2x_1_128,596916,0.2701,0.8058,28.4201,0.0264,,,,
SR_IMDN_2x_1_256,2350940,0.2693,0.8055,28.4131,0.0265,,,,
SR_IMDN_2x_1_48,88251,0.2918,0.8035,28.3156,0.0267,,,,
SR_IMDN_2x_1_64,153824,0.2733,0.8051,28.3920,0.0265,,,,
SR_IMDN_2x_1_96,339210,0.2688,0.8055,28.4040,0.0264,,,,
SR_IMDN_2x_2_128,1028700,0.2679,0.8051,28.4039,0.0265,,,,
SR_IMDN_2x_2_48,149130,0.2790,0.8049,28.3737,0.0265,,,,
SR_IMDN_2x_2_96,582216,0.2681,0.8052,28.4063,0.0264,,,,
SR_IMDN_2x_4_16,31808,0.2996,0.8013,28.1914,0.0271,,,,
SR_IMDN_2x_4_256,7528268,0.2683,0.8047,28.3826,0.0265,,,,
SR_IMDN_2x_4_52,317120,0.2730,0.8054,28.3999,0.0265,,,,
SR_IMDN_2x_5_16,38629,0.3011,0.8015,28.2018,0.0270,,,,
SR_IMDN_2x_6_64,694404,0.2681,0.8053,28.3997,0.0264,,,,
SR_RFDN_2x_1_128,802124,0.2664,0.8049,28.3914,0.0265,,,,
SR_RFDN_2x_1_256,3170956,0.2654,0.8049,28.3906,0.0265,,,,
SR_RFDN_2x_1_4,1363,0.2772,0.7965,27.9540,0.0274,,,,
SR_RFDN_2x_1_48,117204,0.2750,0.8051,28.3709,0.0265,,,,
SR_RFDN_2x_1_64,205228,0.2730,0.8056,28.4087,0.0264,,,,
SR_RFDN_2x_1_96,454716,0.2729,0.8057,28.4237,0.0264,,,,
SR_RFDN_2x_2_128,1439116,0.2650,0.8044,28.3749,0.0265,,,,
SR_RFDN_2x_2_16,24668,0.3011,0.8022,28.2287,0.0269,,,,
SR_RFDN_2x_2_256,5716748,0.2660,0.8041,28.3630,0.0265,,,,
SR_RFDN_2x_2_256_GAN,5716748,0.2419,0.7837,27.6701,0.0287,,,,
SR_RFDN_2x_2_48,207036,0.2717,0.8055,28.3999,0.0265,,,,
SR_RFDN_2x_2_52,242306,0.2732,0.8054,28.4015,0.0265,,,,
SR_RFDN_2x_2_64,364748,0.2726,0.8056,28.4142,0.0264,,,,
SR_RFDN_2x_2_96,813228,0.2680,0.8052,28.3992,0.0264,,,,
SR_RFDN_2x_4_128,2713100,0.2671,0.8047,28.3974,0.0265,,,,
SR_RFDN_2x_4_16,44812,0.2983,0.8016,28.1943,0.0270,,,,
SR_RFDN_2x_4_256,10808332,0.2692,0.8043,28.3807,0.0265,,,,
SR_RFDN_2x_4_48,386700,0.2691,0.8053,28.4081,0.0265,,,,
SR_RFDN_2x_4_52,453088,0.2682,0.8056,28.4143,0.0264,,,,
SR_RFDN_2x_4_96,1530252,0.2677,0.8049,28.3993,0.0265,,,,
SR_RFDN_2x_6_48,566364,0.2694,0.8054,28.3948,0.0265,,,,
SR_RFDN_2x_6_52,663870,0.2671,0.8055,28.4095,0.0264,,,,
SR_RFDN_2x_6_64,1002828,0.2685,0.8055,28.4124,0.0264,,,,
SR_SRCNN_2x,20099,0.2917,0.8051,28.3282,0.0266,,,,
SR_VDSR_2x_18_64,668227,0.2685,0.8060,28.4261,0.0264,,,,
SR_EDSR_2_52,832055,0.2710,0.8046,28.3874,0.0265,,,,
SR_EDSR_4_52,929607,0.2653,0.8043,28.3876,0.0265,,,,
SR_FastEDSR_2_128,694231,0.2644,0.8042,28.3837,0.0265,,,,
SR_FastEDSR_2_16,22343,0.2914,0.8028,28.2885,0.0268,,,,
SR_FastEDSR_2_32,63031,0.2739,0.8042,28.3611,0.0266,,,,
SR_FastEDSR_2_4,3923,0.3029,0.8018,28.2053,0.0270,,,,
SR_FastEDSR_2_64,199703,0.2672,0.8045,28.3848,0.0265,,,,
SR_FastEDSR_2_8,8911,0.3028,0.8012,28.1975,0.0270,,,,
SR_FastEDSR_4_128,1284567,0.2650,0.8041,28.3877,0.0265,,,,
SR_FastEDSR_4_16,31623,0.2755,0.8043,28.3616,0.0266,,,,
SR_FastEDSR_4_256,4928343,0.2700,0.8051,28.4052,0.0264,,,,
SR_FastEDSR_4_32,100023,0.2681,0.8043,28.3818,0.0265,,,,
SR_FastEDSR_4_64,347415,0.2624,0.8040,28.3746,0.0265,,,,
SR_FastEDSR_4_8,11247,0.2950,0.8032,28.2861,0.0268,,,,
SR_FastEDSR_6_256,7288663,0.2668,0.8043,28.3795,0.0265,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.2800,0.8197,28.6499,0.0251,,,,
SR_FastEDSR_jpeg_2_64,199703,0.2791,0.8267,29.1136,0.0238,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.3027,0.8145,28.4904,0.0257,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.2667,0.8369,29.5430,0.0226,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.2591,0.8387,29.2559,0.0231,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.2626,0.8387,29.6353,0.0224,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.1728,0.7621,26.4354,0.0340,,,,
SR_FastEDSR_jpeg_4_32,100023,0.2804,0.8257,29.1078,0.0237,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.2704,0.8290,28.9172,0.0241,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.2679,0.8295,28.8886,0.0242,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.2725,0.8284,29.0134,0.0240,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.2697,0.8269,28.3701,0.0255,,,,
SR_FastEDSR_jpeg_4_48,205287,0.2763,0.8302,29.2460,0.0233,,,,
SR_FastEDSR_jpeg_4_64,347415,0.2733,0.8324,29.3317,0.0231,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.2327,0.7702,27.3173,0.0322,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,0.2533,0.8291,29.0302,0.0237,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.2674,0.8329,29.3162,0.0231,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,0.1940,0.7598,25.6425,0.0386,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,0.2672,0.8318,29.3310,0.0231,,,,
