model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_4x_2_48,439107,0.3594,0.7017,25.0907,0.0364,,,,
SR_EDSR_4x_2_64,779011,0.3458,0.7052,25.1992,0.0359,,,,
SR_EDSR_4x_4_48,522243,0.3449,0.7058,25.2237,0.0358,,,,
SR_EDSR_4x_6_12,38595,0.4063,0.6747,24.4754,0.0392,,,,
SR_ESRGAN_4x_23_64_32,16697987,0.3432,0.6996,25.0935,0.0366,,,,
SR_ESRGAN_4x_23_64_32_GAN,16697987,0.2633,0.6334,22.8873,0.0546,,,,
SR_FastEDSR_4x_1_128,354096,0.3457,0.7030,25.1489,0.0361,,,,
SR_FastEDSR_4x_1_16,12048,0.3981,0.6869,24.6699,0.0380,,,,
SR_FastEDSR_4x_1_32,33264,0.3810,0.6931,24.8617,0.0373,,,,
SR_FastEDSR_4x_1_4,2184,0.4105,0.6790,24.5127,0.0389,,,,
SR_FastEDSR_4x_1_64,103344,0.3619,0.6984,25.0072,0.0366,,,,
SR_FastEDSR_4x_1_8,4896,0.4071,0.6816,24.5550,0.0386,,,,
SR_FastEDSR_4x_2_128,649264,0.3131,0.7131,25.4127,0.0350,,,,
SR_FastEDSR_4x_2_16,16688,0.3924,0.6918,24.8129,0.0375,,,,
SR_FastEDSR_4x_2_32,51760,0.3617,0.7001,25.0413,0.0365,,,,
SR_FastEDSR_4x_2_4,2480,0.4188,0.6799,24.5312,0.0388,,,,
SR_FastEDSR_4x_2_64,177200,0.3384,0.7066,25.2174,0.0357,,,,
SR_FastEDSR_4x_2_8,6064,0.3980,0.6864,24.6660,0.0381,,,,
SR_FastEDSR_4x_4_128,1239600,0.3033,0.7196,25.5801,0.0342,,,,
SR_FastEDSR_4x_4_128_GAN,1239600,0.1936,0.6489,24.2328,0.0420,,,,
SR_FastEDSR_4x_4_16,25968,0.3690,0.6984,25.0024,0.0367,,,,
SR_FastEDSR_4x_4_32,88752,0.3464,0.7052,25.1912,0.0359,,,,
SR_FastEDSR_4x_4_64,324912,0.3143,0.7130,25.4180,0.0350,,,,
SR_FastEDSR_4x_4_64_GAN,324912,0.2420,0.6457,24.0335,0.0424,,,,
SR_FastEDSR_4x_4_8,8400,0.3842,0.6907,24.7891,0.0376,,,,
SR_FastEDSR_4x_8_16,44528,0.3530,0.7027,25.1203,0.0362,,,,
SR_IMDN_4x_2_48,164718,0.3901,0.6916,24.8375,0.0374,,,,
SR_IMDN_4x_4_48,286476,0.3699,0.6976,25.0085,0.0368,,,,
