model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_jpeg_2_8_s,8911,0.4327,0.7387,26.4246,0.0322,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.4062,0.7442,26.5804,0.0315,,,,
SR_FastEDSR_jpeg_2_64,199703,0.3780,0.7531,26.8973,0.0302,,,,
SR_FastEDSR_jpeg_4_32,100023,0.3812,0.7521,26.8930,0.0301,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.3682,0.7549,26.8510,0.0302,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.3657,0.7561,26.8499,0.0302,,,,
SR_FastEDSR_jpeg_4_64,347415,0.3683,0.7596,27.0823,0.0294,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.3569,0.7618,27.0041,0.0296,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.3603,0.7650,27.2533,0.0288,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.3519,0.7665,27.1543,0.0290,,,,
