model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_EDSR_4x_2_48,439107,0.3413,0.7883,27.8070,0.0263,,,,
SR_EDSR_4x_2_64,779011,0.3306,0.7910,27.9146,0.0259,,,,
SR_EDSR_4x_4_48,522243,0.3286,0.7921,27.9608,0.0258,,,,
SR_EDSR_4x_6_12,38595,0.3751,0.7691,27.1605,0.0282,,,,
SR_ESRGAN_4x_23_64_32,16697987,0.3261,0.7864,27.7737,0.0267,,,,
SR_ESRGAN_4x_23_64_32_GAN,16697987,0.2378,0.7133,24.9461,0.0429,,,,
SR_FastEDSR_4x_1_128,354096,0.3316,0.7893,27.8558,0.0261,,,,
SR_FastEDSR_4x_1_16,12048,0.3697,0.7773,27.3827,0.0274,,,,
SR_FastEDSR_4x_1_32,33264,0.3577,0.7814,27.5545,0.0269,,,,
SR_FastEDSR_4x_1_4,2184,0.3784,0.7713,27.1940,0.0280,,,,
SR_FastEDSR_4x_1_64,103344,0.3440,0.7855,27.7179,0.0265,,,,
SR_FastEDSR_4x_1_8,4896,0.3754,0.7733,27.2518,0.0278,,,,
SR_FastEDSR_4x_2_128,649264,0.3042,0.7981,28.1777,0.0252,,,,
SR_FastEDSR_4x_2_16,16688,0.3647,0.7810,27.5178,0.0270,,,,
SR_FastEDSR_4x_2_32,51760,0.3428,0.7868,27.7478,0.0264,,,,
SR_FastEDSR_4x_2_4,2480,0.3875,0.7719,27.2101,0.0279,,,,
SR_FastEDSR_4x_2_64,177200,0.3246,0.7925,27.9583,0.0258,,,,
SR_FastEDSR_4x_2_8,6064,0.3686,0.7769,27.3786,0.0274,,,,
SR_FastEDSR_4x_4_128,1239600,0.2927,0.8046,28.4259,0.0245,,,,
SR_FastEDSR_4x_4_128_GAN,1239600,0.1831,0.7397,26.5830,0.0315,,,,
SR_FastEDSR_4x_4_16,25968,0.3481,0.7856,27.7093,0.0265,,,,
SR_FastEDSR_4x_4_32,88752,0.3308,0.7912,27.9248,0.0259,,,,
SR_FastEDSR_4x_4_64,324912,0.3042,0.7985,28.1938,0.0251,,,,
SR_FastEDSR_4x_4_64_GAN,324912,0.2342,0.7407,26.5954,0.0312,,,,
SR_FastEDSR_4x_4_8,8400,0.3586,0.7799,27.5034,0.0271,,,,
SR_FastEDSR_4x_8_16,44528,0.3353,0.7892,27.8518,0.0261,,,,
SR_IMDN_4x_2_48,164718,0.3608,0.7814,27.5511,0.0270,,,,
SR_IMDN_4x_4_48,286476,0.3477,0.7861,27.7305,0.0265,,,,
SR_IMDN_4x_6_64,715176,0.3324,0.7936,27.9998,0.0257,,,,
SR_RFDN_4x_1_128,843632,0.2748,0.7950,28.0928,0.0255,,,,
SR_RFDN_4x_2_128,1480624,0.2741,0.7969,28.1202,0.0253,,,,
SR_RFDN_4x_2_48,222624,0.3708,0.7719,27.2098,0.0284,,,,
SR_RFDN_4x_4_48,402288,0.3430,0.7725,27.3587,0.0281,,,,
SR_RFDN_4x_4_48_GAN,402288,0.2881,0.6491,22.3100,0.0585,,,,
SR_RFDN_4x_6_48,581952,0.3588,0.7658,27.2268,0.0285,,,,
SR_RFDN_4x_6_52,680754,0.3189,0.7752,27.4860,0.0278,,,,
SR_EDSR_2_52,832055,0.3317,0.7911,27.9261,0.0260,,,,
SR_EDSR_4_52,929607,0.3171,0.7970,28.1373,0.0254,,,,
SR_FastEDSR_2_128,694231,0.3055,0.7994,28.2357,0.0251,,,,
SR_FastEDSR_2_16,22343,0.3697,0.7791,27.4633,0.0272,,,,
SR_FastEDSR_2_32,63031,0.3423,0.7878,27.7910,0.0263,,,,
SR_FastEDSR_2_4,3923,0.3855,0.7717,27.2048,0.0280,,,,
SR_FastEDSR_2_64,199703,0.3197,0.7947,28.0515,0.0256,,,,
SR_FastEDSR_2_8,8911,0.3764,0.7737,27.2697,0.0278,,,,
SR_FastEDSR_4_128,1284567,0.2930,0.8062,28.4919,0.0244,,,,
SR_FastEDSR_4_16,31623,0.3437,0.7870,27.7670,0.0264,,,,
SR_FastEDSR_4_32,100023,0.3238,0.7936,28.0159,0.0257,,,,
SR_FastEDSR_4_64,347415,0.3051,0.8007,28.2765,0.0250,,,,
SR_FastEDSR_4_8,11247,0.3690,0.7782,27.4329,0.0273,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.3935,0.7455,26.8920,0.0295,,,,
SR_FastEDSR_jpeg_2_64,199703,0.3786,0.7465,26.8421,0.0298,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.4023,0.7475,26.8549,0.0293,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.3406,0.7688,27.2902,0.0281,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.3300,0.7719,27.2707,0.0280,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.3356,0.7719,27.2522,0.0281,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.2703,0.6085,22.7623,0.0531,,,,
SR_FastEDSR_jpeg_4_32,100023,0.3851,0.7428,26.8014,0.0299,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.3730,0.7480,26.8420,0.0297,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.3654,0.7526,26.9089,0.0294,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.3735,0.7469,26.8447,0.0298,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.3631,0.7504,26.7849,0.0299,,,,
SR_FastEDSR_jpeg_4_48,205287,0.3674,0.7527,26.9414,0.0294,,,,
SR_FastEDSR_jpeg_4_64,347415,0.3554,0.7598,27.0859,0.0288,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.3397,0.6706,24.5948,0.0444,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,0.3374,0.7540,26.8802,0.0294,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.3498,0.7596,27.0687,0.0288,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,0.3466,0.5540,21.5800,0.0629,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,0.3427,0.7560,27.0359,0.0290,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.3402,0.7636,27.0872,0.0287,,,,
SR_FastEDSR_jpeg_6_32,137015,0.3726,0.7501,26.9099,0.0295,,,,
SR_IMDN_2_48,181605,0.3478,0.7835,27.6577,0.0267,,,,
SR_IMDN_2_96,647091,0.3130,0.7990,28.2012,0.0252,,,,
SR_RFDN_1_128,888599,0.3034,0.8019,28.3167,0.0248,,,,
SR_RFDN_2_48,239511,0.3355,0.7889,27.8489,0.0262,,,,
SR_RFDN_2_96,878103,0.3079,0.8023,28.3214,0.0249,,,,
SR_RFDN_2_96_GAN,878103,0.1726,0.6540,25.0291,0.0417,,,,
SR_RFDN_4_128,2799575,0.3052,0.8070,28.4987,0.0244,,,,
SR_RFDN_4_16,55687,0.3613,0.7640,27.0153,0.0287,,,,
SR_RFDN_4_256,10981207,0.2958,0.8142,28.7799,0.0236,,,,
SR_RFDN_4_256_ESRGAN,10981207,0.2080,0.7599,27.6643,0.0284,,,,
SR_RFDN_4_256_GAN,10981207,0.1853,0.7451,26.5427,0.0341,,,,
SR_RFDN_4_48,419175,0.3260,0.7936,28.0171,0.0258,,,,
SR_RFDN_jpeg_2_128,1525591,0.3142,0.7812,27.5186,0.0272,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.2191,0.6897,23.9877,0.0475,,,,
SR_RFDN_jpeg_2_256,5889623,0.3095,0.7857,27.5191,0.0271,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.2046,0.6808,23.9872,0.0476,,,,
SR_RFDN_jpeg_4_128,2799575,0.3692,0.7457,26.8256,0.0300,,,,
SR_FastEDSR_4_256,4928343,0.2948,0.8071,28.5265,0.0242,,,,
SR_FastEDSR_6_256,7288663,0.2842,0.8105,28.6350,0.0239,,,,
nearest,0,0.3924,0.7099,25.2970,0.0328,,,,
bilinear,0,0.4205,0.7331,26.1131,0.0313,,,,
bicubic,0,0.4129,0.7529,26.6963,0.0293,,,,
lanczos,0,0.4140,0.7595,26.9335,0.0286,,,,
