model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_FastEDSR_2_32,63031,0.1092,0.8705,29.2525,0.0226,,,,
SR_FastEDSR_2_4,3923,0.1434,0.8578,28.5801,0.0242,,,,
SR_FastEDSR_2_64,199703,0.1029,0.8729,29.4101,0.0222,,,,
SR_FastEDSR_2_8,8911,0.1416,0.8607,28.6493,0.0240,,,,
SR_FastEDSR_4_128,1284567,0.0991,0.8774,29.6943,0.0215,,,,
SR_FastEDSR_4_16,31623,0.1117,0.8696,29.2128,0.0227,,,,
SR_FastEDSR_4_32,100023,0.1046,0.8728,29.3959,0.0222,,,,
SR_FastEDSR_4_64,347415,0.1002,0.8750,29.5621,0.0219,,,,
SR_FastEDSR_4_8,11247,0.1347,0.8641,28.8710,0.0235,,,,
SR_FastEDSR_jpeg_2_16_s,22343,0.1849,0.8241,27.9931,0.0265,,,,
SR_FastEDSR_jpeg_2_64,199703,0.2021,0.8152,27.9500,0.0268,,,,
SR_FastEDSR_jpeg_2_8_s,8911,0.1858,0.8287,28.1015,0.0260,,,,
SR_FastEDSR_jpeg_4_128,1284567,0.1681,0.8395,28.4060,0.0251,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,0.1596,0.8443,27.9340,0.0262,,,,
SR_FastEDSR_jpeg_4_256,4928343,0.1609,0.8412,28.4115,0.0252,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,0.1309,0.7730,25.3809,0.0377,,,,
SR_FastEDSR_jpeg_4_32,100023,0.2079,0.8113,27.8602,0.0270,,,,
SR_FastEDSR_jpeg_4_32_s,100023,0.1985,0.8219,27.6300,0.0273,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,0.1917,0.8268,27.6744,0.0271,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,0.1977,0.8200,27.8297,0.0270,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,0.2011,0.8224,26.9938,0.0291,,,,
SR_FastEDSR_jpeg_4_48,205287,0.1924,0.8231,28.0245,0.0264,,,,
SR_FastEDSR_jpeg_4_64,347415,0.1805,0.8307,28.1672,0.0258,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,0.1537,0.7934,26.6878,0.0337,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,0.1743,0.8262,27.9435,0.0264,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,0.1772,0.8309,28.1082,0.0260,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,0.1411,0.7472,24.3214,0.0449,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,0.1663,0.8341,28.2061,0.0257,,,,
SR_FastEDSR_jpeg_4_64_s,347415,0.1683,0.8380,27.7637,0.0266,,,,
SR_FastEDSR_jpeg_6_32,137015,0.1973,0.8203,27.9819,0.0265,,,,
SR_IMDN_2_48,181605,0.1114,0.8676,29.1229,0.0229,,,,
SR_IMDN_2_96,647091,0.0994,0.8745,29.5493,0.0219,,,,
SR_RFDN_1_128,888599,0.1005,0.8751,29.5898,0.0218,,,,
SR_RFDN_2_48,239511,0.1041,0.8707,29.2930,0.0226,,,,
SR_RFDN_2_96,878103,0.1006,0.8758,29.6045,0.0217,11.92,146,26.81,110
SR_RFDN_2_96_GAN,878103,0.0494,0.8034,27.6614,0.0292,,,,
SR_RFDN_4_128,2799575,0.0991,0.8782,29.8059,0.0213,,,,
SR_RFDN_4_16,55687,0.1407,0.8487,28.3242,0.0251,,,,
SR_RFDN_4_256,10981207,0.0961,0.8800,29.9180,0.0211,,,,
SR_RFDN_4_256_ESRGAN,10981207,0.0630,0.8602,29.1613,0.0234,,,,
SR_RFDN_4_256_GAN,10981207,0.0489,0.8506,28.8117,0.0246,,,,
SR_RFDN_4_48,419175,0.1019,0.8724,29.4029,0.0223,,,,
SR_RFDN_jpeg_2_128,1525591,0.1485,0.8503,28.1614,0.0256,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.1133,0.7981,26.2597,0.0340,,,,
SR_RFDN_jpeg_2_256,5889623,0.1456,0.8524,28.1608,0.0256,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.0986,0.8006,26.3630,0.0331,,,,
SR_RFDN_jpeg_4_128,2799575,0.1893,0.8236,27.5973,0.0275,,,,
nearest,0,0.1480,0.8117,26.4334,0.0289,4165.73,190,5510.27,116
bilinear,0,0.2339,0.8040,27.0418,0.0285,1666.45,168,5189.49,116
bicubic,0,0.1878,0.8346,27.8831,0.0259,1336.14,168,3109.56,116
lanczos,0,0.2054,0.8443,28.2163,0.0251,,,,
